,playerID,yearID,R,RBI,SB,SO,IBB,SH,SF,GIDP,BA,OPS,LogSalary,nameFirst,nameLast,nameGiven,bats,teamName
163,harveke01,2003,50,64,2,94,4,3,2,15,0.265979381,0.721107308,12.8772707,Ken,Harvey,Kenneth Eugene,R,Kansas City Royals
164,hattesc01,2003,63,61,0,53,0,3,3,14,0.25323475,0.725112653,14.64085856,Scott,Hatteberg,Scott Allen,L,Oakland Athletics
165,helmswe01,2003,56,67,0,131,3,0,7,10,0.260504202,0.779803713,13.52785782,Wes,Helms,Wesley Ray,R,Milwaukee Brewers
166,heltoto01,2003,135,117,0,72,21,0,7,19,0.358490566,1.087539557,16.44209688,Todd,Helton,Todd Lynn,L,Colorado Rockies
167,hermach01,2003,2,2,0,9,0,0,0,0,0.16,0.422222222,12.9180931,Chad,Hermansen,Chad Bruce,R,Los Angeles Dodgers
168,hernajo01,2003,33,27,1,95,0,0,2,6,0.237354086,0.669560012,14.08124299,Jose,Hernandez,Jose Antonio,R,Colorado Rockies
169,hernara02,2003,70,78,0,79,2,2,6,14,0.273291925,0.78901761,14.71649596,Ramon,Hernandez,Ramon Jose,R,Oakland Athletics
170,hidalri01,2003,91,88,9,104,8,0,5,10,0.309338521,0.95659982,16.22130906,Richard,Hidalgo,Richard Jose,R,Houston Astros
171,higgibo02,2003,61,52,8,73,3,1,6,12,0.234541578,0.689167888,16.55357079,Bobby,Higginson,Robert Leigh,L,Detroit Tigers
172,hillesh02,2003,20,38,1,26,1,0,4,9,0.302702703,0.778243243,13.18352809,Shea,Hillenbrand,Shea Matthew,R,Boston Red Sox
173,hinsker01,2003,74,63,12,104,1,0,5,11,0.242761693,0.765319387,13.57041788,Eric,Hinske,Eric Scott,L,Toronto Blue Jays
174,hockide01,2003,22,22,0,37,0,3,3,3,0.239361702,0.652964264,14.08124299,Denny,Hocking,Dennis Lee,B,Minnesota Twins
175,hollato01,2003,32,20,2,55,4,2,2,2,0.254385965,0.738512949,14.4867081,Todd,Hollandsworth,Todd Mathew,L,Florida Marlins
176,houstty01,2003,7,14,0,19,1,0,0,2,0.278350515,0.722450205,14.08124299,Tyler,Houston,Tyler Sam,L,Philadelphia Phillies
177,huckake01,2003,1,2,0,2,0,0,0,0,0.181818182,0.454545455,12.91969135,Ken,Huckaby,Kenneth Paul,R,Toronto Blue Jays
178,hudsoor01,2003,54,57,5,87,1,0,3,13,0.267932489,0.722729739,12.91969135,Orlando,Hudson,Orlando Thill,B,Toronto Blue Jays
179,huffau01,2003,91,107,2,80,17,0,9,19,0.311320755,0.921886971,12.95731183,Aubrey,Huff,Aubrey Lewis,L,Tampa Bay Devil Rays
180,hundlto01,2003,2,11,0,13,0,0,0,0,0.181818182,0.735402809,15.95304505,Todd,Hundley,Todd Randolph,B,Los Angeles Dodgers
181,huntebr02,2003,13,13,0,21,0,0,3,1,0.234693878,0.594104308,14.26356442,Brian,Hunter,Brian Lee,R,Houston Astros
